City,State,Country,Project Title,Type of Action,Sector,Sector (Categorical),Instrument,Instrument type (categorical),Amount (USD/EUR/BRL),Amount USD (integer),Funders,Funder (categorical),Intermediaries/Implementers,Status,Status (categorical),Summary,Key Points,Source Link,Coordinates,Detailed Expected Impact,Repayment Structure,Operation & Maintenance,Co-benefits (detailed),Primary Beneficiaries (detailed),Climate Goals (detailed),Alignment with National/Local Priorities,Implementation Risks & Lessons
Recife,PE,Brazil,Urban Infrastructure Insurance Facility – Recife,Climate risk insurance; Financial resilience,DRM/finance,Resilience & Disaster Risk Management,KfW/BMZ via ICLEI (grant/TA),Grant / Technical Assistance,—,,InsuResilience (KfW/BMZ); ICLEI; partners,InsuResilience; KfW / BMZ,ICLEI; Recife Municipality,Pilot (since 2022); active,Under implementation / Operational,Design of insurance solutions to protect critical infrastructure and vulnerable populations from extreme weather.,Innovative financial instrument for cities; complements adaptation investments.,https://uiif-resilience.org/recife/,"-8.057800, -34.882900","The Recife Urban Infrastructure Insurance Facility (UIIF) project aims to strengthen financial resilience of the city to climate shocks. It helps Recife design, pilot, and deploy parametric insurance instruments for urban infrastructure at risk from flooding and sea-level rise. Supports long-term risk transfer strategies for critical assets, integrating climate risk data into planning.","Non-repayable grant and technical assistance funded by KfW and BMZ, coordinated by ICLEI Resilient Cities Network. Recife does not take on debt; program supports capacity building and policy design.","City of Recife, via its Municipal Secretariat for Climate and Sustainability and finance/planning departments, oversees risk analysis and insurance design. Long-term risk governance will be institutionalized within city structures.",Financial protection for essential services and infrastructure; improved budgeting for climate contingencies; capacity building for city staff on climate risk and insurance tools.,"Urban populations indirectly benefit through protection of critical services (e.g., transport, water, housing). City government gains technical and institutional capacity for climate finance and insurance.",Strengthens adaptation and resilience to climate-induced disasters. Aligns with Brazil’s urban adaptation plans and ICLEI resilience goals.,Supports Recife’s Municipal Climate Action Plan and Brazil’s adaptation components under the NDC. Integrated into national disaster risk finance efforts.,"Challenges include limited data and modeling for risk pricing, and institutional unfamiliarity with insurance mechanisms. Project emphasizes early-stage capacity and policy design before financial implementation."
Curitiba,PR,Brazil,Linha Verde BRT & Ecological Corridor (AFD),BRT expansion; Flood parks,Urban mobility; Environment,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Transport; Urban Development & Housing,AFD sovereign loan,Loan,€36.15M (initial AFD loan),39765000,AFD; Municipality of Curitiba,AFD; National / Subnational Government,Curitiba Municipality,Ongoing (since 2011),Under implementation / Operational,New BRT line with adjacent parks and retention ponds along Barigui River to reduce flood risk.,Integrates mobility and NBS; equitable access for underserved areas.,https://www.afd.fr/en/carte-des-projets/curitiba-linha-verde,"-25.428900, -49.273300",The Linha Verde project in Curitiba combines a new BRT corridor with green infrastructure. It improves north-south urban mobility while restoring natural drainage systems and creating ecological parks. Aims to reduce floods and connect underserved neighborhoods.,AFD provided a €36.15M sovereign loan to Curitiba. City repays the loan through budgetary allocations over the term. Additional funding from the city and state government.,City’s public transport agency (URBS) and environment secretariat oversee BRT and park maintenance. Public-private bus operators run BRT services. Parks maintained by municipal environment and public works departments.,Improved access to transport for low-income communities; flood reduction; green space creation; urban biodiversity corridors; improved air quality and health.,Low-income populations in north and south Curitiba; bus commuters; residents near flood-prone areas and green park zones.,Mitigation via modal shift to BRT; adaptation via flood control and green infrastructure. Supports Curitiba’s climate action plan and Brazil’s low-carbon urban strategies.,"Integrated into Curitiba’s Master Plan, the National Policy on Urban Mobility, and Brazil’s NDC goals for mitigation and adaptation.",Land acquisition and coordination between transport and environment sectors required careful planning. Integrated design proved effective in combining mobility and resilience goals.
Fortaleza,CE,Brazil,Re‑Ciclo – E‑tricycle Door‑to‑Door Recycling,Inclusive recycling; E‑mobility,Solid waste; Social inclusion; Mobility,Solid Waste & Circular Economy; Transport; Urban Development & Housing,City program; philanthropy/awards,Municipal / Subnational Budget,—,,Municipality of Fortaleza; Partners,National / Subnational Government,LABIFOR/City; waste picker associations,Operational; scaling (Prize 2024),Under implementation / Operational,Electric tricycles and formalization of catadores to expand recycling and improve livelihoods.,Up to 500% income gains; 541% bikeway growth; strong replication narrative.,https://prizeforcities.org/2023-2024-winners,"-3.731900, -38.526700","Re-Ciclo is an e-tricycle waste collection program in Fortaleza, improving inclusive recycling while reducing GHGs from waste and transport. Trained informal waste pickers collect recyclables via electric tricycles, boosting efficiency and inclusion.","City-funded pilot program, with awards and philanthropy support (e.g., Prize for Cities). No loan repayment. Operated via city and civil society partnerships.",Program jointly managed by Fortaleza's Urban Environment Secretariat (SEUMA) and local NGOs. Waste pickers trained and supported in operation and maintenance of e-tricycles.,Job creation; social inclusion of informal workers; GHG reduction from cleaner transport and higher recycling; improved urban cleanliness and dignity of labor.,Informal waste pickers and low-income communities; environment gains from reduced landfill and emissions.,Mitigation through reduced emissions from fossil-fuel transport and increased recycling. Supports Fortaleza’s climate action plan.,"Aligned with Brazil’s solid waste policy and Fortaleza’s inclusive green jobs strategy. Featured in international innovation platforms (e.g., WRI Ross Prize).",Logistical and training barriers initially limited scale. Community co-design and iterative learning helped build trust and operational success.
Salvador,BA,Brazil,Urban Ocean – Inclusive Recycling & Circularity,Circular economy; Waste; Social inclusion,Solid waste; Resilience,Resilience & Disaster Risk Management; Solid Waste & Circular Economy; Urban Development & Housing,Grant/TA (Urban Ocean program),Grant / Technical Assistance,—,,Resilient Cities Network; The Circulate Initiative; Ocean Conservancy,Resilient Cities Network,Municipality of Salvador; Cooperatives,Active (2025),Under implementation / Operational,Integrates waste pickers into city recycling; improves sorting and livelihoods; reduces plastic leakage.,Resilience via circularity; social equity; baseline assessments and pilots.,https://resilientcitiesnetwork.org/urban-ocean/,"-12.970400, -38.512400","The Urban Ocean project in Salvador supports circular economy and inclusive recycling. It improves waste separation and community waste services, particularly in coastal and vulnerable areas, to reduce marine pollution and build urban resilience.","Funded via grant and TA from Resilient Cities Network’s Urban Ocean initiative (supported by Ocean Conservancy, C40 Cities). No repayment required.",City agencies and local partners co-manage waste and recycling systems; focus on integrating informal sector and improving coastal community resilience.,Plastic and marine pollution reduction; community health improvement; job creation in informal sector; resilience to coastal hazards; gender equity and youth engagement.,Low-income coastal communities; informal waste workers; residents at risk from pollution and flooding.,Mitigation through waste reduction and avoided landfill emissions. Adaptation via improved coastal waste resilience and sanitation infrastructure.,Supports Salvador’s local resilience plan and Brazil’s circular economy and coastal adaptation strategies.,Scaling inclusive recycling requires community trust and systemic investment. International peer learning and co-design proved critical.
Niterói,RJ,Brazil,Parque Orla Piratininga (Jardins Filtrantes),Constructed wetlands; Lagoon restoration,Water & environment; Public space,Environment & Nature-based Solutions; Urban Development & Housing; Water & Sanitation / Water Management,Municipal program; awards/TA,Grant / Technical Assistance; Municipal / Subnational Budget,—,,Municipality of Niterói; partners,National / Subnational Government,PRO Sustentável; technical consortium,Completed 2022 (ongoing ops),Completed,"35,000 m² of filter gardens to treat runoff entering Piratininga Lagoon; creation of a large urban park.",Biodiversity gains; water quality improvements; replicable NBS design.,https://aiph.org/green-city-case-studies/niteroi-brazil/,"-22.880800, -43.104300","Restores Piratininga Lagoon using nature-based solutions (constructed wetlands). Improves water quality, biodiversity, and climate resilience while creating public green space and educational infrastructure.","Funded by municipal budget, with support from national awards, TA from ICLEI, and green infrastructure grants. No debt component.",City of Niterói’s Environment Secretariat oversees O&M. Wetlands and public parks maintained by municipal green infrastructure team.,Flood mitigation; improved water quality; habitat creation; education and ecotourism; health benefits from cleaner lagoon and public space.,Residents of surrounding neighborhoods; city-wide visitors; schools and youth groups using the space for learning.,Adaptation through ecosystem restoration; GHG reduction from carbon sequestration and avoided pollution. Recognized as a climate-nature flagship.,Supports Niterói’s green infrastructure plan and Brazil’s urban ecosystem restoration strategies. Acknowledged by AIPH Green City program.,Maintaining ecosystem balance in urban wetlands requires monitoring and adaptive management. High visibility increased public awareness and political support.
Teresina,PI,Brazil,"Teresina Enhancing Municipal Governance & Quality of Life (incl. drainage, mobility)",Urban resilience; Drainage; Transport,Urban development; Mobility; Water,Resilience & Disaster Risk Management; Transport; Urban Development & Housing; Water & Sanitation / Water Management,IBRD loan,Loan,—,,World Bank (IBRD),World Bank,Municipality of Teresina,Completed/closed (per ICR),Completed,"Investments in drainage, transport corridors and city management to improve resilience and services.",Strong evaluation docs (PAD/ICR); replicable multi‑sector design.,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/457731468019778469,"-5.089200, -42.801900","Improves climate resilience, urban mobility, and flood management in Teresina through integrated drainage, road, and transport infrastructure. Supports institutional modernization to strengthen public service delivery and reduce vulnerability to climate-related flooding.","US$31.5M IBRD loan to the Municipality of Teresina with sovereign guarantee. Repaid through municipal budget over long term, with technical support from national programs.",City government departments manage transport and drainage systems post-construction. Institutional strengthening supported by digital tools and capacity building.,Improved urban mobility; reduced health risks from flooding; transparency and efficiency in public financial management; inclusive urban design.,Low-income neighborhoods in flood-prone areas; daily commuters; municipal departments benefiting from administrative improvements.,Strengthens resilience to climate-induced floods; mitigates urban transport emissions through planning upgrades.,Aligned with Brazil’s National Policy on Climate Change and Teresina’s integrated urban development strategy. Recognized in World Bank climate finance portfolio.,Early coordination between urban planning and drainage sectors was key. Emphasized participatory planning and inter-agency cooperation.
São Paulo,SP,Brazil,Metro Line 2 – Green Expansion,Mass transit expansion (low‑carbon),Urban mobility,Transport,IBRD loan,Loan,US$250M,250000000,World Bank; State of São Paulo,National / Subnational Government; World Bank,Companhia do Metropolitano de São Paulo,Approved 2025,Approved,Extends Line 2‑Green and integrates with social housing; enhances low‑carbon access.,Low‑carbon mobility; inclusion; integrated planning.,https://www.worldbank.org/en/news/press-release/2025/03/18/world-bank-supports-sao-paulo-metro-expansion,"-23.550500, -46.633300","Expands São Paulo Metro Line 2–Green by 8.3 km to the east zone, serving underserved communities. Improves access, reduces GHG emissions from road transport, and strengthens inclusive public transport infrastructure.","US$250M IBRD loan to the State of São Paulo, complemented by state and private funding under PPP model. Repayment over 20+ years with sovereign backing.","ViaMobilidade, a private concessionaire, operates and maintains the metro line under PPP terms. Integrates with the wider São Paulo metro system.",Travel time savings; improved job access; lower air pollution; increased public safety and gender inclusion through safer stations and vehicles.,"Low-income populations in São Paulo’s east zone, especially in Guaianases and Penha districts. Broader metro region benefits from connectivity.","Supports modal shift to low-emission transport. Estimated GHG reduction of 38,000 tCO2e/year. Aligned with national mitigation targets.",Part of Brazil’s urban mobility investment pipeline and São Paulo’s low-carbon strategy. Featured in World Bank’s climate-tagged transport loans.,Complex land acquisition and urban interface challenges. Lessons from prior metro expansions informed mitigation measures and design sequencing.
São Paulo,SP,Brazil,Climate Fund – Caieiras Landfill Biomethane/Power,Methane capture; Renewable energy,Solid waste / energy,Energy; Solid Waste & Circular Economy,BNDES Climate Fund loan,Climate / Carbon Finance; Loan,BRL 93.8M (loan example),18760000,BNDES Climate Fund,BNDES,Essencis/Termoverde Caieiras,Approved 2023 (example loan),Approved,Climate Fund supports landfill gas capture and biomethane/power generation at Caieiras site.,Domestic climate finance; strong mitigation; scalable model.,https://renewablesnow.com/news/brazils-bndes-grants-usd-46m-of-loans-for-biogas-projects-842341/,"-23.550500, -46.633300",Supports generation of biomethane and electricity from landfill gas at Caieiras landfill. Reduces methane emissions and produces renewable energy for local consumption and grid injection. Demonstrates circular economy model for waste-to-energy.,"Funded by BRL 93.8M loan from BNDES Climate Fund to private concessionaire. Repayment through sale of energy and biomethane, with support from carbon credit revenues.","Private operator manages landfill gas capture, treatment, and conversion infrastructure. Ongoing performance monitored by environmental regulators.",Reduces landfill odor and fire risk; creates green jobs; supports energy access and local air quality improvement.,Residents of São Paulo metro area; utilities and fuel distributors sourcing renewable gas; waste sector workforce.,Targets short-lived climate pollutants; major GHG reduction from methane destruction. Supports Brazil’s NDC commitments on energy and waste.,Aligns with Brazil’s National Solid Waste Plan and renewable energy goals. Supported by BNDES climate innovation portfolio.,Technology and gas quality risks required upfront validation. Market linkage for biomethane is key to long-term viability.
Recife,PE,Brazil,CITinova – Filtering Garden & Parque Capibaribe pilots,Nature‑based solutions; Water quality; Public space,Urban environment; Water,Environment & Nature-based Solutions; Urban Development & Housing; Water & Sanitation / Water Management,GEF grant via UNEP (TA + pilots),Grant / Technical Assistance,—,,GEF; UNEP; MCTI (Brazil),GEF; UN Agency,Recife Municipality; CITinova consortium,Completed/operational (2019–2023),Under implementation / Operational,Large filtering garden and riverfront interventions to treat runoff and rejuvenate public space.,Documented pilots; strong replication value; community benefits.,https://open.unep.org/docs/gef/PIR/FY2023/9142_Brazil_PIR2023.pdf,"-8.057800, -34.882900","Implements green infrastructure pilots in Recife including filtering gardens and urban park regeneration (Parque Capibaribe). Demonstrates NbS for urban water management, biodiversity restoration, and community wellbeing.",Funded by GEF via UNEP grant under CITinova program. No loan repayment; support covers TA and pilot implementation by local agencies.,City’s environment and planning departments manage maintenance. Community partnerships support stewardship and monitoring of NbS sites.,Flood control; increased urban vegetation and recreation space; improved water quality; social cohesion and public awareness of nature-based planning.,Flood-vulnerable communities in Recife; students and local visitors; biodiversity in urban areas; low-income users of restored parks.,Adaptation through urban ecosystem restoration; mitigation via urban greening and water-energy savings.,Part of Recife’s Climate Plan and national urban NbS framework supported by MMA and UNEP.,Local adaptation of international NbS concepts required. Interdisciplinary planning and local champions crucial for success.
Belém (Metro region),PA,Brazil,CITinova II – Low‑Emission Street & Urban Bioeconomy,Low‑carbon district; NbS; Green economy,Urban development; Mobility; Energy; Biodiversity,Energy; Environment & Nature-based Solutions; Transport; Urban Development & Housing,GEF grant via UNEP/MCTI,Grant / Technical Assistance,—,,GEF; UNEP; MCTI,GEF; UN Agency,Belém/Ananindeua/Marituba; partners,Under implementation,Under implementation / Operational,Pilots an integrated low‑emission street and metropolitan conservation/bioeconomy actions.,Multi‑level governance; links city and ecosystems; replication tests.,https://open.unep.org/docs/gef/PIR/FY2023/9142_Brazil_PIR2023.pdf,"-1.455000, -48.502400","Demonstrates low-emission street design and urban bioeconomy hub in Belém’s metro region. Combines clean mobility, green infrastructure, and circular economy initiatives in pilot district, linking urban sustainability with Amazonian priorities.",Grant-funded under GEF CITinova II via UNEP/MCTI. No repayment; municipal partners co-finance implementation and maintenance.,City and state partners manage infrastructure and services. Local bioeconomy actors engaged in enterprise support and circular waste management.,Sustainable transport; job creation in bioeconomy; urban biodiversity and flood reduction; local innovation and cultural recognition.,Residents of Belém’s pilot district; informal workers and youth engaged in circular economy; environmental education beneficiaries.,Mitigation via green transport and waste-to-value chain; adaptation through NbS and resilient design. Supports Amazon biome climate agenda.,"Aligned with Pará’s green economy strategy, Belém’s climate commitments, and Brazil’s Amazon development and climate resilience goals.",Requires deep local coordination and continuity beyond pilot phase. Emphasizes inclusive design and scaling through Amazon cities network.
Salvador,BA,Brazil,PMAMC – Climate Action Plan 2020–2049 (IDB‑funded preparation),City climate planning (mitigation & adaptation),Cross‑sector,Cross-sector,IDB grant (plan preparation),Grant / Technical Assistance,—,,IDB (via Prodetur); C40; GIZ; others,IDB,ICLEI; WayCarbon; WWF; Salvador Secis,Completed 2020 (guiding implementation),Completed,"Comprehensive, equity‑centered climate plan with targets to 2049; 57 priority actions.",Strong participation; equity lens; recognized by C40.,https://americadosul.iclei.org/salvadors-climate-action-plan-also-aims-to-reduce-socioeconomic-inequality/,"-12.970400, -38.512400",,,,,,,,
Rio de Janeiro,RJ,Brazil,COR – City Operations & Resilience Center / Alerta Rio,Early warning; Multi‑agency operations center,Disaster risk management,Resilience & Disaster Risk Management,City investment; partner TA (IBM; WB/GFDRR),Grant / Technical Assistance; Municipal / Subnational Budget,—,,Municipality of Rio; partners,National / Subnational Government,COR Rio; Defesa Civil; IBM (tech partner),Operational since 2010,Under implementation / Operational,24/7 multi‑agency hub integrates data from 30+ agencies for climate/disaster monitoring and response.,Global reference; early warnings and public alert systems; replicable governance model.,https://publications.iadb.org/publications/english/document/International-Case-Studies-of-Smart-Cities-Rio-de-Janeiro-Brazil.pdf,"-22.906800, -43.172900",,,,,,,,
São Paulo,SP,Brazil,World Bank/IDB – E‑bus Program (IDB link),Fleet electrification,Urban mobility,Transport,IDB loan,Loan,US$248.3M,248300000,IDB,IDB,Municipality of São Paulo; SPTrans,Approved 2025,Approved,IDB co‑financing for the São Paulo e‑bus transition.,Multilateral co‑finance; largest fleet transition in LAC.,https://www.iadb.org/en/news/municipality-sao-paulo-expand-electric-bus-fleet-idb-support,"-23.550500, -46.633300",,,,,,,,
Curitiba (and others via UIIF),PR,Brazil,Urban Infrastructure Insurance Facility – UIIF cohort,Climate risk insurance; Financial resilience,DRM/finance,Resilience & Disaster Risk Management,KfW/BMZ via ICLEI (grant/TA),Grant / Technical Assistance,—,,InsuResilience (KfW/BMZ); ICLEI,InsuResilience; KfW / BMZ,"ICLEI; cities incl. Curitiba, Porto Alegre, Recife",Active (2024–2025),Under implementation / Operational,Regional program designing city‑level insurance solutions for climate risks.,Portfolio of Latin American cities; replicable templates for risk transfer.,https://uiif-resilience.org/cities/,"-25.428900, -49.273300",,,,,,,,
São Paulo,SP,Brazil,World Bank – E‑bus Program (Project doc excerpt),Fleet electrification,Urban mobility,Transport,IBRD loan,Loan,US$248.3M,248300000,World Bank (IBRD),World Bank,Municipality of São Paulo; SPTrans,Appraisal 2024; approved 2025,Approved,Project document outlines rationale for replacing diesel buses with ZE fleet in SP.,Clear climate rationale; sector emissions baseline; strong MRV.,https://documents1.worldbank.org/curated/en/099091224091031915/pdf/P500501-8195a190-0911-42ee-8909-c6f5e6e625b0.pdf,"-23.550500, -46.633300",,,,,,,,
São Paulo,SP,Brazil,BNDES – New Climate Fund (urban projects window),Domestic climate finance platform,"Cross‑sector (urban mobility, waste, energy)",Cross-sector; Energy; Transport,Climate Fund (reimbursable & non‑reimbursable),Climate / Carbon Finance,BRL 19B approved 2023–2025 (portfolio),3800000000,BNDES; MMA; potential GCF co‑finance,BNDES,BNDES (financial agent),Active 2023–2025,Under implementation / Operational,"Platform to finance climate projects incl. city transit (e.g., VLT) and waste/energy efficiency.",Transparency portal; blended finance; municipal pipelines.,https://cop30.br/en/news-about-cop30/bndes-launches-platform-to-monitor-climate-fund-investments,"-23.550500, -46.633300",,,,,,,,
Rio de Janeiro (statewide),RJ,Brazil,Tietê Upstream Program – Penha Dam reach (state),Riverbank restoration; Water quality improvements,Water & environment,Environment & Nature-based Solutions; Water & Sanitation / Water Management,IDB loan,Loan,—,,IDB,IDB,DAEE (state agency),Approved,Approved,Recovery and preservation of riverbanks and water quality upstream of Penha Dam.,Complements SABESP investments; watershed approach.,https://www.iadb.org/en/project/BR-L1536,"-22.906800, -43.172900",,,,,,,,
Fortaleza,CE,Brazil,Fortaleza SUDP – Implementation Status Report (progress note),Project monitoring/reporting,Urban development,Urban Development & Housing,IBRD loan,Loan,—,,World Bank,World Bank,Municipality of Fortaleza,ISR March 2025 indicates strong progress,Under implementation / Operational,Works for Rachel de Queiroz Park Phase II and lagoon upgrades; microparks; sewer connections.,Clear milestones; useful for replication tracking.,https://documents1.worldbank.org/curated/en/099121824134041918/pdf/P153012-d1eae7f9-b634-4444-b757-254d99675454.pdf,"-3.731900, -38.526700",,,,,,,,
Porto Alegre,RS,Brazil,Programa de Inovação Social para Transformação Territorial de Porto Alegre,Post-disaster resilience; Integrated territorial hubs; Flood recovery,Resilience; Urban development; Social infrastructure,Resilience & Disaster Risk Management; Urban Development & Housing,CAF sovereign loan,Loan,US$80M,80000000,CAF – Development Bank of Latin America and the Caribbean,CAF,Municipality of Porto Alegre,Approved Dec 2024,Approved,Rebuilds flood-damaged areas and creates Integrated Territorial Complexes (multi-service community hubs) with resilient infrastructure in vulnerable districts.,Holistic climate resilience + social services; decentralized hubs double as shelters; 100% green loan classification.,https://www.caf.com/es/actualidad/noticias/caf-aprueba-usd-80-millones-para-mejorar-la-resiliencia-climatica-de-porto-alegre/,"-30.034600, -51.217700",,,,,,,,
Belo Horizonte,MG,Brazil,Resilient Urban Watersheds (Capão & Piratininga) – C40 CFF,Nature-based stormwater; Green corridors; Rain gardens; Rainwater harvesting,Water & environment; Resilience,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Water & Sanitation / Water Management,Technical assistance (C40 Cities Finance Facility),Grant / Technical Assistance,—,,C40 CFF (funded by BMZ & FCDO),C40 CFF; KfW / BMZ,City of Belo Horizonte; C40–GIZ (CFF),Planned / Under preparation (selected Nov 2025),Planned,Watershed-scale NbS to manage stormwater and heat in vulnerable basins; aims to reduce flood impacts by ~40% through distributed green infrastructure.,Shift from gray to NbS at watershed scale; strong replication potential; early-stage project prep for bankability.,https://www.c40.org/news/belo-horizonte-sao-paulo-rabat-and-cartagena-to-receive-funding-boost-for-new-climate-projects/,"-19.912998, -43.940933",,,,,,,,
São Paulo,SP,Brazil,Jardim Orion II – Billings Reservoir Urban Regeneration (C40 CFF),Nature-based urban regeneration; Flood resilience; Watershed management,Urban development; Water & environment,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Urban Development & Housing; Water & Sanitation / Water Management,Technical assistance (C40 Cities Finance Facility),Grant / Technical Assistance,—,,C40 CFF (BMZ & FCDO),C40 CFF; KfW / BMZ,Municipality of São Paulo; C40–GIZ (CFF),Planned / Under preparation (announced Nov 2025),Planned,"Integrates NbS (parks, wetlands) into the Watershed Protection Programme to reduce flooding and improve water security in a high-risk floodplain.",First integration of NbS into São Paulo’s watershed program; social inclusion; potential for green jobs.,https://www.c40.org/news/belo-horizonte-sao-paulo-rabat-and-cartagena-to-receive-funding-boost-for-new-climate-projects/,"-23.550500, -46.633300",,,,,,,,
Teresina,PI,Brazil,Lagoa do Mazerine Rain Garden & Linear Park (UrbanShift/CITinova),Rain garden; Urban green infrastructure; Flood adaptation,Resilience; Urban environment,Environment & Nature-based Solutions; Resilience & Disaster Risk Management,GEF grant (via UNEP/MCTI) – pilot,Grant / Technical Assistance,—,,GEF; UNEP; MCTI (CITinova/UrbanShift),GEF; UN Agency,Municipality of Teresina; CITinova partners,Completed 2024,Completed,Demonstration rain garden and park absorbing stormwater to reduce floods; adds green public space and urban cooling benefits.,"Low-cost, high-impact NbS; strong community co-benefits; replicable in medium cities.",https://www.shiftcities.org/post/how-teresina-accelerating-its-transition-green-and-resilient-city,"-5.089200, -42.801900",,,,,,,,
Florianópolis (Metro Region),SC,Brazil,CITinova II – Metropolitan Low-Carbon & Nature-Positive Pilots,Low-emission mobility/buildings; NbS; Metropolitan governance,Urban development; Mobility; Energy; Nature,Energy; Transport; Urban Development & Housing,GEF-7 grant (via UNEP/MCTI),Grant / Technical Assistance,—,,GEF; UNEP; MCTI; local co-finance,GEF; UN Agency,Municipalities of Greater Florianópolis; MCTI; partners,Under implementation (since 2023),Under implementation / Operational,"Metropolitan-scale pilots to cut emissions and enhance resilience (e.g., sustainable mobility, protection of coastal ecosystems).",Metropolitan approach; integrates climate and biodiversity; scalable finance pathways.,https://open.unep.org/docs/gef/PIR/FY2023/9142_Brazil_PIR2023.pdf,"-27.596900, -48.549500",,,,,,,,
Belo Horizonte,MG,Brazil,DRENURBS – Environmental Recovery & Drainage for Valley Floors (IDB),Urban drainage; Sewer expansion; Resettlement; Early warning,Water & sanitation; Resilience,Resilience & Disaster Risk Management; Urban Development & Housing; Water & Sanitation / Water Management,IDB loan (CCLIP first operation),Loan,—,,Inter-American Development Bank (IDB),IDB,Municipality of Belo Horizonte; possible CAIXA (financial agent),Planned / In preparation (IDB profile active),Under implementation / Operational,"Major drainage works, sewer expansion, and resettlement from high-risk floodplains; includes institutional strengthening and EWS.",Climate-resilient sizing; equity focus; programmatic CCLIP enables scaling to other cities.,https://www.iadb.org/en/project/BR-L1647,"-19.912998, -43.940933",,,,,,,,
Recife,PE,Brazil,ProMorar Recife – Urban Resilience & Revitalization Program,Resilient slum upgrading; Flood & landslide risk reduction,Urban development; Resilience; Housing,Resilience & Disaster Risk Management; Urban Development & Housing,IDB sovereign-guaranteed loan,Loan,US$260M (IDB) + local counterpart,260000000,Inter-American Development Bank (IDB),IDB,Municipality of Recife,Approved Jan 2023; Under implementation,Under implementation / Operational,"Upgrades 40 vulnerable communities with drainage, housing, social facilities; reduces flood and landslide risks; strengthens city DRM capacity.",Climate criteria in prioritization; large-scale inclusive adaptation; strong documentation and KPIs.,https://www.iadb.org/en/project/BR-L1609,"-8.057800, -34.882900",,,,,,,,
Buenos Aires,CABA,Argentina,Urban Flood Prevention and Drainage Project (APL1),"Flood control (drainage tunnels, canals); early warning",Water management; Urban resilience,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan (Adaptable Program Loan),Grant / Technical Assistance; Loan,~US$130M,130000000,World Bank (IBRD); Government of Argentina,National / Subnational Government; World Bank,City of Buenos Aires (Min. Urban Development); Nat'l Min. Public Works,Completed (approved 2005; closed ~2011),Completed,"Constructed major drainage tunnels/canals (e.g., Vega, Maldonado basins) and non-structural flood measures to reduce flash-flood risk for ~3M residents.",Multi-basin gray infrastructure + planning; basis for later phases.,https://documents.worldbank.org,"-34.603700, -58.381600",,,,,,,,
"Multi-city (incl. Resistencia, Virasoro)",Santa Fe; Chaco; Corrientes; Entre Ríos,Argentina,Urban Flood Prevention and Drainage Project – Phase 2 (APL2),Flood control; integrated watershed management,Water management; Urban resilience,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan (APL2),Loan,~US$150M,150000000,World Bank (IBRD); Government of Argentina; Provinces,National / Subnational Government; World Bank,Nat'l Min. Public Works; provincial governments,Completed (~2011–2017),Completed,Scaled flood protection to additional jurisdictions; drainage works and watershed plans across multiple provinces.,Multi-jurisdictional coordination; integrated planning.,https://worldbank.org,,,,,,,,,
Buenos Aires,CABA,Argentina,Flood Risk Management Support Project for the City of Buenos Aires (Loan 8628-AR),Urban flood resilience; early warning; NBS pilot,DRM; Water,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loan,Loan,US$200M,200000000,World Bank (IBRD); City of Buenos Aires,National / Subnational Government; World Bank,Hydraulic Dept.; Emergency Agency (BA),Completed (2016–2023),Completed,"Strengthened flood risk management, built EWS and council; drainage upgrades in vulnerable areas; NBS retention lagoon/park in Cildáñez basin.",Green-gray integration; institutional coordination; inclusive approach.,https://worldbank.org,"-34.603700, -58.381600",,,,,,,,
La Matanza (GBA),Buenos Aires Province,Argentina,Metrobus La Matanza (PTUMA add'l financing),BRT corridor; sustainable mobility,Transport (low-carbon),Environment & Nature-based Solutions; Transport,IBRD loan (add'l financing),Loan,US$45M (WB share),45000000,World Bank; Government of Argentina,National / Subnational Government; World Bank,Ministry of Transport; Province; Municipality,Completed (2017 opening),Completed,"16-km BRT with 40 stations, serving ~240k users/day; time savings ~30%; intermodal terminal works.",Equity for low-income suburb; emissions and air quality benefits.,https://worldbank.org,"-34.717000, -58.633000",,,,,,,,
Buenos Aires Metropolitan Area,CABA / Buenos Aires,Argentina,Matanza–Riachuelo Basin Sustainable Development (multi-phase),Wastewater treatment; floodable green areas; industrial cleanup,Water & sanitation; Urban environment,Environment & Nature-based Solutions; Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD loans (multi-phase),Loan,~US$1.2B (2009–2022),1200000000,World Bank (IBRD); Government of Argentina (ACUMAR; AySA),National / Subnational Government; World Bank,ACUMAR; AySA utility,Under implementation,Under implementation / Operational,"Riachuelo megaproject: pretreatment plant, deep outfall, tunnels; floodable green areas; industrial relocation/control.",Largest WB urban environmental project in LAC; circular economy elements.,https://worldbank.org,"-34.603700, -58.381600",,,,,,,,
